"Date","Price","Open","High","Low","Vol.","Change %"
"09/05/2024","49.74","49.20","49.94","48.89","5.86M","1.38%"
"09/04/2024","49.06","46.70","49.67","46.70","13.16M","5.79%"
"09/03/2024","46.37","45.89","46.62","44.80","10.17M","1.78%"
"09/02/2024","45.56","46.78","47.02","45.56","5.57M","-2.61%"
"08/30/2024","46.78","46.26","47.39","45.86","78.11M","1.06%"
"08/29/2024","46.29","46.45","46.89","46.02","5.30M","-0.49%"
"08/28/2024","46.52","45.61","46.89","45.55","7.14M","1.93%"
"08/27/2024","45.64","46.11","46.37","45.48","3.41M","-1.25%"
"08/26/2024","46.22","46.11","46.44","45.67","3.33M","0.52%"
"08/23/2024","45.98","46.15","46.65","45.93","5.36M","0.07%"
"08/22/2024","45.95","45.40","46.09","45.30","6.09M","2.15%"
"08/21/2024","44.98","44.28","45.39","44.27","4.20M","1.05%"
"08/20/2024","44.51","44.10","44.80","43.86","4.15M","1.32%"
"08/19/2024","43.93","44.93","44.93","43.37","5.01M","-1.04%"
"08/16/2024","44.39","44.82","44.94","43.98","6.06M","-0.83%"
"08/15/2024","44.76","44.08","45.05","43.90","6.13M","1.98%"
"08/14/2024","43.89","43.98","44.41","43.85","5.60M","0.09%"
"08/13/2024","43.85","44.14","45.51","43.75","7.29M","0.92%"
"08/12/2024","43.46","43.21","44.39","42.59","6.33M","0.58%"
"08/09/2024","43.21","42.33","43.22","41.17","10.53M","3.12%"
"08/08/2024","41.90","39.85","42.18","38.96","16.75M","9.99%"
"08/07/2024","38.09","38.66","38.76","37.76","6.01M","-0.70%"
"08/06/2024","38.36","38.47","39.14","37.96","9.00M","-0.85%"
"08/05/2024","38.69","37.76","39.36","37.38","9.41M","-1.32%"
"08/02/2024","39.21","41.99","42.25","38.78","10.91M","-6.59%"
"08/01/2024","41.98","43.82","44.04","41.66","6.54M","-4.09%"
"07/31/2024","43.76","42.91","44.17","42.61","7.41M","2.24%"
"07/30/2024","42.81","40.97","43.35","40.97","8.82M","4.26%"
"07/29/2024","41.06","41.45","41.69","40.50","3.87M","-1.01%"
"07/26/2024","41.48","40.56","41.54","40.41","5.59M","2.17%"
"07/25/2024","40.60","40.95","41.08","40.12","4.53M","-0.78%"
"07/24/2024","40.92","41.83","42.04","40.62","7.53M","-2.17%"
"07/23/2024","41.83","38.84","41.89","38.73","14.69M","8.47%"
"07/22/2024","38.56","41.76","41.85","38.21","12.18M","-7.03%"
"07/19/2024","41.48","41.32","43.27","41.19","12.92M","1.14%"
"07/18/2024","41.01","40.45","41.01","40.35","4.80M","1.48%"
"07/17/2024","40.41","40.85","41.34","40.20","5.72M","-0.57%"
"07/16/2024","40.64","40.82","41.25","40.29","4.74M","-0.61%"
"07/15/2024","40.89","40.22","40.98","39.70","4.53M","1.69%"
"07/12/2024","40.21","40.34","41.14","39.92","4.78M","-0.62%"
"07/11/2024","40.46","39.68","40.57","39.53","5.82M","1.96%"
"07/10/2024","39.68","38.81","40.06","38.81","14.24M","2.37%"
"07/09/2024","38.76","36.66","38.95","36.58","11.63M","5.90%"
"07/08/2024","36.60","35.86","36.65","35.86","5.52M","2.29%"
"07/05/2024","35.78","37.54","37.71","35.76","4.04M","-4.51%"
"07/04/2024","37.47","37.70","38.00","37.08","1.86M","0.03%"
"07/03/2024","37.46","36.72","37.58","36.55","4.22M","2.57%"
"07/02/2024","36.52","36.66","36.66","35.77","4.22M","-0.38%"
"07/01/2024","36.66","36.21","36.66","35.66","4.98M","1.52%"
"06/28/2024","36.11","38.05","38.36","35.22","16.75M","-5.42%"
"06/27/2024","38.18","37.98","38.54","37.76","4.80M","0.53%"
"06/26/2024","37.98","37.42","38.16","37.25","8.00M","0.72%"
"06/25/2024","37.71","37.51","38.20","36.97","5.18M","0.72%"
"06/24/2024","37.44","38.15","38.53","37.37","4.39M","-1.03%"
"06/21/2024","37.83","36.44","37.83","36.19","7.66M","4.18%"
"06/20/2024","36.31","37.01","37.56","36.17","6.90M","-2.31%"
"06/19/2024","37.17","36.80","37.46","36.51","5.08M","1.11%"
"06/18/2024","36.76","37.58","37.58","36.35","6.20M","-2.34%"
"06/17/2024","37.64","37.08","37.86","36.70","6.66M","0.94%"
"06/14/2024","37.29","39.39","39.42","37.20","7.85M","-5.35%"
"06/13/2024","39.40","39.96","40.81","38.84","8.26M","-1.33%"
"06/12/2024","39.93","39.01","39.95","38.47","7.03M","2.99%"
"06/11/2024","38.77","39.21","39.91","38.57","8.48M","-0.56%"
"06/10/2024","38.99","38.46","39.26","37.96","5.28M","1.64%"
"06/07/2024","38.36","36.51","38.79","36.28","7.11M","4.04%"
"06/06/2024","36.87","36.68","37.43","36.21","4.06M","0.85%"
"06/05/2024","36.56","37.76","37.87","36.46","7.28M","-2.87%"
"06/04/2024","37.64","36.67","38.36","36.59","9.31M","2.59%"
"06/03/2024","36.69","36.36","37.26","36.31","5.09M","1.38%"
"05/31/2024","36.19","36.45","36.72","35.47","5.39M","-1.15%"
"05/29/2024","36.61","37.17","37.50","36.53","4.19M","-1.40%"
"05/28/2024","37.13","38.36","38.50","37.10","6.03M","-2.57%"
"05/27/2024","38.11","37.95","38.12","37.23","1.73M","1.25%"
"05/24/2024","37.64","37.93","38.19","37.34","3.82M","-0.76%"
"05/23/2024","37.93","38.17","38.51","37.59","6.50M","-1.86%"
"05/22/2024","38.65","38.94","39.29","37.98","6.41M","-2.05%"
"05/21/2024","39.46","38.96","39.56","38.85","3.54M","1.59%"
"05/20/2024","38.84","39.52","39.53","38.29","8.03M","-1.72%"
"05/17/2024","39.52","38.56","39.73","38.56","13.12M","2.30%"
"05/16/2024","38.63","39.26","39.64","38.39","8.81M","-0.77%"
"05/15/2024","38.93","36.85","39.02","36.66","9.91M","5.64%"
"05/14/2024","36.85","34.30","36.92","34.11","12.71M","7.65%"
"05/13/2024","34.23","33.54","34.31","33.52","4.01M","2.30%"
"05/10/2024","33.47","33.71","34.64","33.24","9.87M","-1.44%"
"05/09/2024","33.96","33.39","34.00","33.17","4.56M","1.22%"
"05/08/2024","33.55","33.47","34.03","33.30","3.04M","-0.24%"
"05/07/2024","33.63","34.31","34.52","32.70","9.78M","-2.01%"
"05/06/2024","34.31","34.21","34.78","33.98","4.82M","0.29%"
"05/03/2024","34.21","32.97","34.26","32.86","6.40M","4.68%"
"05/02/2024","32.69","33.33","33.98","32.69","8.04M","-1.89%"
"04/30/2024","33.32","33.15","33.45","33.01","3.50M","0.15%"
"04/29/2024","33.27","33.12","33.51","32.92","5.78M","0.30%"
"04/26/2024","33.17","32.44","33.41","32.22","7.13M","3.27%"
"04/25/2024","32.12","31.21","32.39","31.00","5.22M","2.68%"
"04/24/2024","31.28","31.11","31.46","30.98","5.76M","0.77%"
"04/23/2024","31.04","31.03","31.57","30.98","2.75M","-0.92%"
"04/22/2024","31.33","31.32","31.77","30.91","5.98M","1.42%"
"04/19/2024","30.89","31.81","32.05","30.53","6.94M","-2.86%"
"04/18/2024","31.80","31.87","32.17","31.49","5.35M","-0.34%"
"04/17/2024","31.91","32.03","32.41","31.68","4.53M","0.57%"
"04/16/2024","31.73","31.17","31.87","30.78","7.48M","1.08%"
"04/15/2024","31.39","31.77","32.45","31.17","10.35M","-1.07%"
"04/12/2024","31.73","32.22","32.53","31.59","4.22M","-2.64%"
"04/11/2024","32.59","32.70","32.77","31.91","3.45M","-0.67%"
"04/10/2024","32.81","32.32","32.93","32.27","5.25M","0.89%"
"04/09/2024","32.52","32.48","32.65","31.92","3.58M","0.18%"
"04/08/2024","32.46","32.27","32.59","31.83","4.27M","0.34%"
"04/05/2024","32.35","32.69","32.76","32.12","5.45M","-0.61%"
"04/04/2024","32.55","33.15","33.80","32.46","4.73M","-1.57%"
"04/03/2024","33.07","32.74","33.22","32.29","5.03M","1.07%"
"04/02/2024","32.72","32.44","33.03","32.04","6.56M","1.11%"
"04/01/2024","32.36","33.48","33.57","32.26","6.16M","-2.76%"
"03/28/2024","33.28","33.09","33.88","32.96","6.79M","0.48%"
"03/27/2024","33.12","33.40","33.40","32.92","4.85M","-0.45%"
"03/26/2024","33.27","33.01","33.61","32.77","7.83M","-0.66%"
"03/25/2024","33.49","33.32","33.74","32.69","11.20M","0.32%"
"03/23/2024","33.38","33.38","33.38","33.38","","0.19%"
"03/22/2024","33.32","31.17","33.62","31.13","24.19M","7.93%"
"03/21/2024","30.87","31.77","31.77","30.61","9.04M","-2.46%"
"03/20/2024","31.65","31.54","32.07","31.05","9.40M","0.35%"
"03/19/2024","31.54","29.60","31.60","29.57","16.84M","6.55%"
"03/18/2024","29.60","29.70","29.97","27.63","18.05M","1.82%"
"03/15/2024","29.07","29.50","29.77","29.00","12.60M","-0.92%"
"03/14/2024","29.34","27.32","29.43","27.32","24.08M","10.21%"
"03/13/2024","26.62","26.25","27.05","26.24","8.09M","0.64%"
"03/12/2024","26.45","26.70","26.70","25.88","4.91M","-0.56%"
"03/11/2024","26.60","26.76","26.93","26.06","3.57M","-0.78%"
"03/08/2024","26.81","26.28","27.23","26.27","4.52M","1.51%"
"03/07/2024","26.41","26.67","27.07","26.10","6.40M","-1.20%"
"03/06/2024","26.73","26.85","27.03","26.00","7.36M","-0.15%"
"03/05/2024","26.77","27.21","27.27","26.70","10.21M","-0.74%"
"03/04/2024","26.97","25.95","27.07","25.77","20.79M","4.33%"
"03/01/2024","25.85","24.90","25.90","24.69","15.71M","5.94%"
"02/29/2024","24.40","23.91","24.40","23.69","6.08M","2.05%"
"02/28/2024","23.92","23.36","24.10","23.31","8.44M","2.09%"
"02/27/2024","23.43","22.91","23.93","22.86","7.61M","2.67%"
"02/26/2024","22.82","22.65","23.11","22.58","4.71M","0.48%"
"02/23/2024","22.71","22.75","23.06","22.64","4.20M","-0.18%"
"02/22/2024","22.75","22.52","23.05","22.49","7.01M","1.20%"
"02/21/2024","22.48","22.71","22.77","22.26","4.93M","-1.19%"
"02/20/2024","22.75","22.62","23.02","22.48","3.26M","0.40%"
"02/19/2024","22.66","22.30","22.71","22.17","1.86M","0.76%"
"02/16/2024","22.49","22.75","22.85","22.37","2.94M","-0.84%"
"02/15/2024","22.68","22.75","22.98","22.42","2.99M","-0.48%"
"02/14/2024","22.79","22.20","22.79","22.18","3.83M","1.11%"
"02/09/2024","22.54","21.87","22.76","21.87","8.86M","2.92%"
"02/08/2024","21.90","21.52","21.94","21.43","3.86M","1.06%"
"02/07/2024","21.67","21.90","22.20","21.61","6.08M","-0.64%"
"02/06/2024","21.81","22.50","22.64","21.53","14.96M","-3.83%"
"02/05/2024","22.68","22.45","22.82","22.14","5.42M","1.16%"
"02/02/2024","22.42","22.56","22.60","21.97","5.96M","-0.13%"
"02/01/2024","22.45","22.67","22.76","21.94","8.10M","-1.36%"
"01/31/2024","22.76","22.94","23.23","22.65","6.53M","-0.39%"
"01/30/2024","22.85","22.28","22.90","22.22","4.67M","2.46%"
"01/29/2024","22.30","22.29","22.35","21.84","5.86M","-0.36%"
"01/26/2024","22.38","22.70","22.90","22.24","2.71M","-1.41%"
"01/25/2024","22.70","22.90","22.90","22.40","2.39M","-0.04%"
"01/24/2024","22.71","22.54","23.18","22.54","5.67M","1.02%"
"01/23/2024","22.48","21.83","22.49","21.75","6.41M","3.45%"
"01/22/2024","21.73","21.40","21.76","21.26","4.99M","1.97%"
"01/19/2024","21.31","21.08","21.46","20.80","4.41M","1.23%"
"01/18/2024","21.05","21.48","21.48","20.93","1.88M","-1.03%"
"01/17/2024","21.27","21.25","21.58","21.19","2.89M","-0.28%"
"01/16/2024","21.33","21.31","21.42","21.02","6.78M","-0.33%"
"01/15/2024","21.40","21.61","21.66","21.34","1.65M","-1.29%"
"01/12/2024","21.68","21.78","21.83","21.43","3.24M","-0.91%"
"01/11/2024","21.88","22.41","22.41","21.72","7.92M","-1.88%"
"01/10/2024","22.30","21.56","22.38","21.50","13.88M","3.38%"
"01/09/2024","21.57","21.68","21.92","21.48","2.48M","-0.42%"
"01/08/2024","21.66","21.37","21.75","21.37","4.72M","1.45%"
"01/05/2024","21.35","21.15","21.35","21.00","4.36M","1.04%"
"01/04/2024","21.13","21.52","21.53","20.84","7.92M","-1.90%"
"01/03/2024","21.54","21.97","22.04","21.31","10.77M","-2.09%"
"01/02/2024","22.00","22.37","22.45","21.83","5.80M","-1.65%"
